trial_num, prob_same,response_num, response_time,target_response, response_switch_target, actual_response, response_correct,response_switch_actual,blood sugar
6,0.75,21,529,S,different_key,S,correct,different_key,normal
6,0.75,22,552,S,same_key,S,correct,same_key,normal
6,0.75,23,532,S,same_key,S,correct,same_key,normal
6,0.75,24,570,S,same_key,S,correct,same_key,normal
6,0.75,25,570,S,same_key,S,correct,same_key,normal
6,0.75,26,532,S,same_key,S,correct,same_key,normal
6,0.75,27,532,S,same_key,S,correct,same_key,normal
6,0.75,28,513,D,different_key,S,incorrect,same_key,normal
6,0.75,29,610,S,different_key,S,correct,same_key,normal
6,0.75,30,570,S,same_key,S,correct,same_key,normal
6,0.75,31,511,S,same_key,S,correct,same_key,normal
6,0.75,32,590,S,same_key,S,correct,same_key,normal
6,0.75,33,492,D,different_key,S,incorrect,same_key,normal
6,0.75,34,512,S,different_key,S,correct,same_key,normal
6,0.75,35,1334,D,different_key,D,correct,different_key,normal
6,0.75,36,747,S,different_key,S,correct,different_key,normal
6,0.75,37,511,S,same_key,S,correct,same_key,normal
6,0.75,38,688,D,different_key,D,correct,different_key,normal
6,0.75,39,824,S,different_key,S,correct,different_key,normal
6,0.75,40,649,S,same_key,S,correct,same_key,normal
6,0.75,41,610,S,same_key,S,correct,same_key,normal
6,0.75,42,572,S,same_key,S,correct,same_key,normal
6,0.75,43,592,S,same_key,S,correct,same_key,normal
6,0.75,44,646,S,same_key,S,correct,same_key,normal
6,0.75,45,1020,S,same_key,S,correct,same_key,normal
6,0.75,46,512,S,same_key,S,correct,same_key,normal
6,0.75,47,804,D,different_key,D,correct,different_key,normal
6,0.75,48,592,S,different_key,S,correct,different_key,normal
6,0.75,49,532,S,same_key,S,correct,same_key,normal
6,0.75,50,648,S,same_key,S,correct,same_key,normal
6,0.75,51,572,S,same_key,S,correct,same_key,normal
6,0.75,52,726,D,different_key,D,correct,different_key,normal
6,0.75,53,492,S,different_key,S,correct,different_key,normal
6,0.75,54,708,S,same_key,S,correct,same_key,normal
6,0.75,55,787,D,different_key,D,correct,different_key,normal
6,0.75,56,745,S,different_key,S,correct,different_key,normal
6,0.75,57,824,D,different_key,D,correct,different_key,normal
6,0.75,58,768,S,different_key,S,correct,different_key,normal
6,0.75,59,628,S,same_key,S,correct,same_key,normal
6,0.75,60,730,D,different_key,D,correct,different_key,normal
6,0.75,61,646,S,different_key,S,correct,different_key,normal
6,0.75,62,728,D,different_key,D,correct,different_key,normal
6,0.75,63,729,S,different_key,S,correct,different_key,normal
6,0.75,64,666,S,same_key,S,correct,same_key,normal
6,0.75,65,727,D,different_key,D,correct,different_key,normal
6,0.75,66,552,S,different_key,S,correct,different_key,normal
6,0.75,67,692,S,same_key,S,correct,same_key,normal
6,0.75,68,646,S,same_key,S,correct,same_key,normal
6,0.75,69,628,S,same_key,S,correct,same_key,normal
6,0.75,70,748,D,different_key,D,correct,different_key,normal
6,0.75,71,804,D,same_key,D,correct,same_key,normal
6,0.75,72,668,D,same_key,D,correct,same_key,normal
6,0.75,73,728,S,different_key,S,correct,different_key,normal
6,0.75,74,728,D,different_key,D,correct,different_key,normal
6,0.75,75,668,S,different_key,S,correct,different_key,normal
6,0.75,76,630,S,same_key,S,correct,same_key,normal
6,0.75,77,608,S,same_key,S,correct,same_key,normal
6,0.75,78,690,S,same_key,S,correct,same_key,normal
6,0.75,79,688,S,same_key,S,correct,same_key,normal
6,0.75,80,611,S,same_key,S,correct,same_key,normal
6,0.75,81,590,S,same_key,S,correct,same_key,normal
6,0.75,82,590,S,same_key,S,correct,same_key,normal
6,0.75,83,569,S,same_key,S,correct,same_key,normal
6,0.75,84,570,S,same_key,S,correct,same_key,normal
7,0.9,2,570,S,,S,correct,,normal
7,0.9,3,688,D,different_key,D,correct,different_key,normal
7,0.9,4,884,S,different_key,S,correct,different_key,normal
7,0.9,5,552,S,same_key,S,correct,same_key,normal
7,0.9,6,648,S,same_key,S,correct,same_key,normal
7,0.9,7,551,S,same_key,S,correct,same_key,normal
7,0.9,8,589,S,same_key,S,correct,same_key,normal
7,0.9,9,610,S,same_key,S,correct,same_key,normal
7,0.9,10,648,S,same_key,S,correct,same_key,normal
7,0.9,11,592,S,same_key,S,correct,same_key,normal
7,0.9,12,570,S,same_key,S,correct,same_key,normal
7,0.9,13,570,S,same_key,S,correct,same_key,normal
7,0.9,14,592,S,same_key,S,correct,same_key,normal
7,0.9,15,784,D,different_key,D,correct,different_key,normal
7,0.9,16,631,D,same_key,S,incorrect,different_key,normal
7,0.9,17,1000,S,different_key,S,correct,same_key,normal
7,0.9,18,570,S,same_key,S,correct,same_key,normal
7,0.9,19,629,S,same_key,S,correct,same_key,normal
7,0.9,20,550,S,same_key,S,correct,same_key,normal
7,0.9,21,575,S,same_key,S,correct,same_key,normal
7,0.9,22,587,S,same_key,S,correct,same_key,normal
7,0.9,23,746,D,different_key,D,correct,different_key,normal
7,0.9,24,550,S,different_key,S,correct,different_key,normal
7,0.9,25,532,S,same_key,S,correct,same_key,normal
7,0.9,26,610,S,same_key,S,correct,same_key,normal
7,0.9,27,628,S,same_key,S,correct,same_key,normal
7,0.9,28,494,S,same_key,S,correct,same_key,normal
7,0.9,29,690,D,different_key,D,correct,different_key,normal
7,0.9,30,626,S,different_key,S,correct,different_key,normal
7,0.9,31,570,S,same_key,S,correct,same_key,normal
7,0.9,32,590,S,same_key,S,correct,same_key,normal
7,0.9,33,532,S,same_key,S,correct,same_key,normal
7,0.9,34,572,S,same_key,S,correct,same_key,normal
7,0.9,35,550,S,same_key,S,correct,same_key,normal
7,0.9,36,570,S,same_key,S,correct,same_key,normal
7,0.9,37,572,S,same_key,S,correct,same_key,normal
7,0.9,38,590,S,same_key,S,correct,same_key,normal
7,0.9,39,590,S,same_key,S,correct,same_key,normal
7,0.9,40,590,S,same_key,S,correct,same_key,normal
